source,target,person_name,linkedin
Accel,Truora,Jon Joe,jon-joe
Accel,Instabug,Jon Joe,jon-joe
Accel,FlyFin,Jon Joe,jon-joe
Accel,CareStack,Jon Joe,jon-joe
Accel,Hudl,Jon Joe,jon-joe
Accel,Zumutor,Jon Joe,jon-joe
Accel,Beek,Jon Joe,jon-joe
Accel,World View,Jon Joe,jon-joe
Accel,Gem,Jon Joe,jon-joe
Accel,Teya,Jon Joe,jon-joe
Accel,VComply,Jon Joe,jon-joe
Accel,Ada Support,Jon Joe,jon-joe
Accel,Vox Media,Jon Joe,jon-joe
Accel,Winden,Jon Joe,jon-joe
Accel,The Zebra,Jon Joe,jon-joe
Accel,CrowdAnalytix,Jon Joe,jon-joe
Accel,Mihup,Jon Joe,jon-joe
Accel,Fortify,Jon Joe,jon-joe
Accel,Titan,Jon Joe,jon-joe
Accel,Carto,Jon Joe,jon-joe
Accel,Time is Ltd,Jon Joe,jon-joe
Accel,CallSign,Jon Joe,jon-joe
Accel,TrustArc,Jon Joe,jon-joe
Accel,Higo,Jon Joe,jon-joe
Accel,Indifi,Jon Joe,jon-joe
Accel,Zomentum,Jon Joe,jon-joe
Accel,merXu,Jon Joe,jon-joe
Accel,Gopuff,Jon Joe,jon-joe
Accel,VSCO,Jon Joe,jon-joe
Accel,AdRoll,Jon Joe,jon-joe
Accel,Can Capital,Jon Joe,jon-joe
Accel,BetterCloud,Jon Joe,jon-joe
Accel,Fortigo,Jon Joe,jon-joe
Accel,Lower,Jon Joe,jon-joe
Accel,Blameless,Jon Joe,jon-joe
Accel,Entytle,Jon Joe,jon-joe
Accel,YapStone,Jon Joe,jon-joe
Accel,Koo,Jon Joe,jon-joe
Accel,Tact.ai,Jon Joe,jon-joe
Accel,Campaign Monitor,Jon Joe,jon-joe
Accel,Facet,Jon Joe,jon-joe
Accel,Discord,Jon Joe,jon-joe
Accel,Axonius,Jon Joe,jon-joe
Accel,CaptivateIQ,Jon Joe,jon-joe
Accel,Ironclad,Jon Joe,jon-joe
Accel,Aura,Jon Joe,jon-joe
Accel,ThreeFlow,Jon Joe,jon-joe
Accel,G2,Jon Joe,jon-joe
Accel,Guru,Jon Joe,jon-joe
Accel,Scale,Jon Joe,jon-joe
Accel,Algolia,Jon Joe,jon-joe
Accel,Drip Capital,Jon Joe,jon-joe
Accel,FalconX,Jon Joe,jon-joe
Accel,Tonkean,Jon Joe,jon-joe
Accel,EdgeDB,Jon Joe,jon-joe
Accel,Jellyfish,Jon Joe,jon-joe
Accel,Linear,Jon Joe,jon-joe
Accel,Middesk,Jon Joe,jon-joe
Accel,Styra,Jon Joe,jon-joe
Accel,Away,Jon Joe,jon-joe
Accel,Lucid Lane,Jon Joe,jon-joe
Accel,Hootsuite,Jon Joe,jon-joe
Accel,GOAT,Jon Joe,jon-joe
Accel,Bevy,Jon Joe,jon-joe
Accel,Invoca,Jon Joe,jon-joe
Accel,Astral,Jon Joe,jon-joe
Accel,Headway,Jon Joe,jon-joe
Accel,Veza,Jon Joe,jon-joe
Accel,Acalvio,Jon Joe,jon-joe
Accel,Snyk,Jon Joe,jon-joe
Accel,Wonder,Jon Joe,jon-joe
Accel,Gametime,Jon Joe,jon-joe
Accel,Vercel,Jon Joe,jon-joe
Accel,Ethos,Jon Joe,jon-joe
Accel,CyCognito,Jon Joe,jon-joe
Battery,Fibraweb,Jon Joe,jon-joe
Battery,Shiftmove,Jon Joe,jon-joe
Battery,Fetcherr,Jon Joe,jon-joe
Battery,Weaviate,Jon Joe,jon-joe
Battery,CodeSecure,Jon Joe,jon-joe
Battery,Neuron7.ai,Jon Joe,jon-joe
Battery,AnalytiChem,Jon Joe,jon-joe
Battery,Resourcewise,Jon Joe,jon-joe
Battery,Rally Network,Jon Joe,jon-joe
Battery,PST,Jon Joe,jon-joe
Battery,Bitwarden,Jon Joe,jon-joe
Battery,Forterro,Jon Joe,jon-joe
Battery,Arize AI,Jon Joe,jon-joe
Battery,Coefficient Works,Jon Joe,jon-joe
Battery,Procurement Science,Jon Joe,jon-joe
Battery,Databricks,Jon Joe,jon-joe
Battery,Axiometrix Solutions,Jon Joe,jon-joe
Battery,Clubessential Holdings,Jon Joe,jon-joe
Battery,ZeroTier,Jon Joe,jon-joe
Battery,Fairmatic,Jon Joe,jon-joe
Battery,Obie,Jon Joe,jon-joe
Battery,System Initiative,Jon Joe,jon-joe
Battery,Mews Systems,Jon Joe,jon-joe
Battery,Paragon Solutions,Jon Joe,jon-joe
Battery,Wing Cloud,Jon Joe,jon-joe
Battery,Orkes,Jon Joe,jon-joe
Battery,Hyperexponential,Jon Joe,jon-joe
Battery,LinearB,Jon Joe,jon-joe
Battery,LI – COR,Jon Joe,jon-joe
Battery,Seek AI,Jon Joe,jon-joe
Battery,Ecovate,Jon Joe,jon-joe
Battery,Lanes & Planes,Jon Joe,jon-joe
Battery,Maxio,Jon Joe,jon-joe
Battery,Novidea,Jon Joe,jon-joe
Battery,Craftview,Jon Joe,jon-joe
Battery,Lindy,Jon Joe,jon-joe
Battery,HiBob Limited,Jon Joe,jon-joe
Battery,Amplify Partners,Jon Joe,jon-joe
Battery,Proemion,Jon Joe,jon-joe
Battery,Quantum Machines,Jon Joe,jon-joe
Battery,UBQ Materials,Jon Joe,jon-joe
Battery,Opal Security,Jon Joe,jon-joe
Battery,CHEQ,Jon Joe,jon-joe
Battery,Ordr,Jon Joe,jon-joe
Battery,Xepelin,Jon Joe,jon-joe
Battery,LogRocket,Jon Joe,jon-joe
Battery,CardinalOps,Jon Joe,jon-joe
Battery,Mine,Jon Joe,jon-joe
Battery,Hummingbird,Jon Joe,jon-joe
Battery,Fulcrumpro,Jon Joe,jon-joe
Battery,Higlobe,Jon Joe,jon-joe
Battery,Compt,Jon Joe,jon-joe
Battery,ContinuumCloud,Jon Joe,jon-joe
Battery,Dataiku,Jon Joe,jon-joe
Battery,steute Technologies,Jon Joe,jon-joe
Battery,8Fig,Jon Joe,jon-joe
Battery,Marco Polo,Jon Joe,jon-joe
Battery,Mobius Institute,Jon Joe,jon-joe
Battery,Learnosity,Jon Joe,jon-joe
Battery,Level AI,Jon Joe,jon-joe
Battery,Vita Mojo International,Jon Joe,jon-joe
Battery,Cross River,Jon Joe,jon-joe
Battery,Honeybook,Jon Joe,jon-joe
Battery,Workato,Jon Joe,jon-joe
Battery,Curve Dental,Jon Joe,jon-joe
Battery,Check,Jon Joe,jon-joe
Battery,Next Insurance,Jon Joe,jon-joe
Battery,Vayyar Imaging,Jon Joe,jon-joe
Battery,Alterya,Jon Joe,jon-joe
Battery,CarNow,Jon Joe,jon-joe
Battery,Guardsquare,Jon Joe,jon-joe
Battery,Shippeo,Jon Joe,jon-joe
Battery,Harness,Jon Joe,jon-joe
Battery,Cube Planning,Jon Joe,jon-joe
Battery,Soldo,Jon Joe,jon-joe
Battery,Array,Jon Joe,jon-joe
Battery,Titian Software,Jon Joe,jon-joe
Battery,StoneEagle,Jon Joe,jon-joe
Battery,SPT Labtech,Jon Joe,jon-joe
Battery,Physical Property Testing,Jon Joe,jon-joe
Battery,Goodfellow,Jon Joe,jon-joe
Battery,Tech Soft 3D,Jon Joe,jon-joe
Battery,Redox,Jon Joe,jon-joe
Battery,AdaCore,Jon Joe,jon-joe
Battery,Crunchtime,Jon Joe,jon-joe
Battery,Robotiq,Jon Joe,jon-joe
Battery,Matillion,Jon Joe,jon-joe
Battery,BloomReach,Jon Joe,jon-joe
Battery,Niantic,Jon Joe,jon-joe
Battery,Diametric Capital,Jon Joe,jon-joe
Battery,Excision Biotherapeutics,Jon Joe,jon-joe
Battery,Nexite,Jon Joe,jon-joe
Battery,DomainTools,Jon Joe,jon-joe
Battery,Mattermost,Jon Joe,jon-joe
Battery,Alogent,Jon Joe,jon-joe
Battery,AscendantFX Capital,Jon Joe,jon-joe
Battery,Play Versus,Jon Joe,jon-joe
Battery,Workwell Technologies,Jon Joe,jon-joe
Battery,MadCap,Jon Joe,jon-joe
Battery,Collibra,Jon Joe,jon-joe
Battery,Cypress,Jon Joe,jon-joe
Battery,Nobl9,Jon Joe,jon-joe
Battery,Lightbox,Jon Joe,jon-joe
Battery,VertiGIS,Jon Joe,jon-joe
Battery,Istra Research,Jon Joe,jon-joe
Battery,Frontapp,Jon Joe,jon-joe
Battery,Code Ocean,Jon Joe,jon-joe
Battery,NorthOne,Jon Joe,jon-joe
Battery,Galilleo Technologies,Jon Joe,jon-joe
Battery,Smartling,Jon Joe,jon-joe
Battery,1WorldSync,Jon Joe,jon-joe
Battery,EquityBee,Jon Joe,jon-joe
Battery,Encore,Jon Joe,jon-joe
Battery,Tealium,Jon Joe,jon-joe
Battery,Paystand,Jon Joe,jon-joe
Battery,InfluxData,Jon Joe,jon-joe
Battery,Trip.com,Jon Joe,jon-joe
Battery,GetYourGuide,Jon Joe,jon-joe
Battery,Precidian,Jon Joe,jon-joe
Battery,NVT Group,Jon Joe,jon-joe
Battery,Plixer,Jon Joe,jon-joe
Battery,Kustomer,Jon Joe,jon-joe
Battery,Quinyx,Jon Joe,jon-joe
Battery,TrueContext,Jon Joe,jon-joe
Battery,Wunderkind,Jon Joe,jon-joe
Battery,AllTaster,Jon Joe,jon-joe
Battery,Omio,Jon Joe,jon-joe
Battery,Contrast Security,Jon Joe,jon-joe
Battery,Narvar,Jon Joe,jon-joe
Battery,Nova Instruments,Jon Joe,jon-joe
Battery,Belong Home,Jon Joe,jon-joe
Battery,PageUp People,Jon Joe,jon-joe
Battery,Reify Health,Jon Joe,jon-joe
Battery,Minute Media,Jon Joe,jon-joe
Battery,LiveIntent,Jon Joe,jon-joe
Battery,Grubmarket,Jon Joe,jon-joe
Battery,Skalar Holding,Jon Joe,jon-joe
Battery,Lotame Solutions,Jon Joe,jon-joe
Battery,InCloud,Jon Joe,jon-joe
Battery,KeyMe,Jon Joe,jon-joe
Battery,Plivo,Jon Joe,jon-joe
Battery,Forte Labs,Jon Joe,jon-joe
Battery,WaystoCap,Jon Joe,jon-joe
Battery,Coravin,Jon Joe,jon-joe
Battery,BrightEdge,Jon Joe,jon-joe
Battery,Catchpoint,Jon Joe,jon-joe
Battery,Cogito Corp,Jon Joe,jon-joe
Battery,Flyhomes,Jon Joe,jon-joe
Battery,IFP,Jon Joe,jon-joe
Battery,Joor,Jon Joe,jon-joe
Battery,easy software,Jon Joe,jon-joe
Battery,Xenex Disinfection Services,Jon Joe,jon-joe
Battery,Shortcut Software,Jon Joe,jon-joe
Battery,Launchable,Jon Joe,jon-joe
Battery,Dooly,Jon Joe,jon-joe
Battery,InVisionApp,Jon Joe,jon-joe
Battery,Ortec International,Jon Joe,jon-joe
Battery,Upsight,Jon Joe,jon-joe
Battery,Kojo,Jon Joe,jon-joe
Battery,Styra,Jon Joe,jon-joe
Battery,Away,Jon Joe,jon-joe
Battery,Lucid Lane,Jon Joe,jon-joe
Battery,ServiceTitan,Jon Joe,jon-joe
Battery,SiSense,Jon Joe,jon-joe
Battery,Vidyard,Jon Joe,jon-joe
Battery,Postman,Jon Joe,jon-joe
Battery,UpKeep,Jon Joe,jon-joe
Battery,Whistic,Jon Joe,jon-joe
Battery,Modern Health,Jon Joe,jon-joe
